"","Authors","Title","Year","Source.title","DOI","Abstract","Title2","Abstract2"
"351","Trunz V., Packer L., Vieu J., Arrigo N., Praz C.J.","comprehensive phylogeny, biogeography and new classification of the diverse bee tribe megachilini: can we use dna barcodes in phylogenies of large genera?",2016,"Molecular Phylogenetics and Evolution","10.1016/j.ympev.2016.07.004","Classification and evolutionary studies of particularly speciose clades pose important challenges, as phylogenetic analyses typically sample a small proportion of the existing diversity. We examine here one of the largest bee genera, the genus Megachile – the dauber and leafcutting bees. Besides presenting a phylogeny based on five nuclear genes (5480 aligned nucleotide positions), we attempt to use the phylogenetic signal of mitochondrial DNA barcodes, which are rapidly accumulating and already include a substantial proportion of the known species diversity in the genus. We used barcodes in two ways: first, to identify particularly divergent lineages and thus to guide taxon sampling in our nuclear phylogeny; second, to augment taxon sampling by combining nuclear markers (as backbone for ancient divergences) with DNA barcodes. Our results indicate that DNA barcodes bear phylogenetic signal limited to very recent divergences (3–4 my before present). Sampling within clades of very closely related species may be augmented using this technique, but our results also suggest statistically supported, but incongruent placements of some taxa. However, the addition of one single nuclear gene (LW-rhodopsin) to the DNA barcode data was enough to recover meaningful placement with high clade support values for nodes up to 15 million years old. We discuss different proposals for the generic classification of the tribe Megachilini. Finding a classification that is both in agreement with our phylogenetic hypotheses and practical in terms of diagnosability is particularly challenging as our analyses recover several well-supported clades that include morphologically heterogeneous lineages. We favour a classification that recognizes seven morphologically well-delimited genera in Megachilini: Coelioxys, Gronoceras, Heriadopsis, Matangapis, Megachile, Noteriades and Radoszkowskiana. Our results also lead to the following classification changes: the groups known as Dinavis, Neglectella, Eurymella and Phaenosarus are reestablished as valid subgenera of the genus Megachile, while the subgenus Alocanthedon is placed in synonymy with M. (Callomegachile), the subgenera Parachalicodoma and Largella with M. (Pseudomegachile), Anodonteutricharaea with M. (Paracella), Platysta with M. (Eurymella), and Grosapis and Eumegachile with M. (Megachile) (new synonymies). In addition, we use maximum likelihood reconstructions of ancestral geographic ranges to infer the origin of the tribe and reconstruct the main dispersal routes explaining the current, cosmopolitan distribution of this genus. © 2016 Elsevier Inc.","comprehensive phylogeny, biogeography and new classification of the diverse bee","Classification and evolutionary studies of particularly speciose clades pose important"
"330","Tsai Z.-M., Chang F.-R., Lin K.-Y., Yang E.-C., Lian F.-L., Wang H.","application of harmonic radar on the research of bees' behavior",2016,"2016 International Symposium on Fundamentals of Electrical Engineering, ISFEE 2016","10.1109/ISFEE.2016.7803220","This paper presents the recently research of the harmonic radar at National Taiwan University and National Chung Cheng University. The topic includes the radar base, portable radar, and the transponder. In the radar base, high sensitivity radar using the correlation of PRN code is developed. To isolate the transmitter and the receiver, a cancellation technique of the local leakage signal is investigated. In the portable radar, an analog correlator network is designed so that the high speed oscilloscope can be replaced by the portable monitor. This portable radar can search a transponder at a distance of 1 m. The transponder design needs to minimize the loss of bee's body, and both ground plane shieling and the virtual ground plane are used to reduce the loss of the body. The reduction of the influence by the bee's body for the transponder using either method is 3-4 dB. © 2016 IEEE.","application of harmonic radar on the research of bees' behavior","This paper presents the recently research of the harmonic radar"
"656","Tsai Z.-M., Jau P.-H., Kuo N.-C., Kao J.-C., Lin K.-Y., Chang F.-R., Yang E.-C., Wang H.","a high-range-accuracy and high-sensitivity harmonic radar using pulse pseudorandom code for bee searching",2013,"IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2012.2230020","This paper presents a 9.4/18.8-GHz harmonic radar to investigate the behavior of bees with colony collapse disorder. The challenges of using harmonic radar for bee searching include the requirements of high range accuracy and high sensitivity. A new harmonic radar using the pseudorandom code positioning technique to simultaneously achieve high range accuracy and high sensitivity is proposed. This study also proposes a new method to cancel the local leakage to further improve sensitivity. To realize the transponder, a compact antenna is designed using the topology characteristics of the composite right/left-handed transmission-line concept. The measured sensitivity of the transceiver is-120 dBm, which is 27 dB lower than the noise level. Field testing results demonstrate a 60-m detection range within 1-m distance error with 1.75-W transmitting power. The significant improvement of the sensitivity and the range accuracy reveal the advantages of applying the code-positioning technique to the harmonic radar. © 1963-2012 IEEE.","a high-range-accuracy and high-sensitivity harmonic radar using pulse pseudorandom code","This paper presents a 9.4/18.8-GHz harmonic radar to investigate the"
"682","Tsai Z.-M., Jau P.-H., Kuo N.-C., Kao J.-C., Lin K.-Y., Chang F.-R., Yang E.-C., Wang H.","a high range resolution 9.4/18.8 ghz harmonic radar for bees searching",2012,"IEEE MTT-S International Microwave Symposium Digest","10.1109/MWSYM.2012.6258275","This paper demonstrates a 9.4/18.8 GHz harmonic radar for bee searching to investigate the phenomenon of colony collapse disorder (CCD). The radar system transmits a pulsed coarse/acquisition code (C/A code) signal with 0° and 90° shift key modulation and then receives the C/A code signal from transponders attached on the bees in BPSK modulation. Using the technique of C/A code positioning, a distance resolution of 0.15 m is achieved. The transponders are designed to minimize the effect from the bodies of bees. The outdoor experiments indicate the sensitivity of the radar system to be 95 dBm and with the distance of 65 m with 6-W peak power. With 3-kW peak power, the distance at which the bees can be located is expected to be 450 m. © 2012 IEEE.","a high range resolution 9.4/18.8 ghz harmonic radar for bees","This paper demonstrates a 9.4/18.8 GHz harmonic radar for bee"
"2588","Tscheulin, T; Neokosmidis, L; Petanidou, T; Settele, J","influence of landscape context on the abundance and diversity of bees in mediterranean olive groves",2011,"BULLETIN OF ENTOMOLOGICAL RESEARCH","10.1017/S0007485311000149","The diversity and abundance of wild bees ensures the delivery of pollination services and the maintenance of ecosystem diversity. As previous studies carried out in Central Europe and the US have shown, bee diversity and abundance is influenced by the structure and the composition of the surrounding landscape. Comparable studies have so far not been carried out in the Mediterranean region. The present study examines the influence of Mediterranean landscape context on the diversity and abundance of wild bees. To do this, we sampled bees in 13 sites in olive groves on Lesvos Island, Greece. Bees were assigned to five categories consisting of three body size groups (small, medium and large bees), the single most abundant bee species (Lasioglossum marginatum) and all species combined. The influence of the landscape context on bee abundance and species richness was assessed at five radii (250, 500, 750, 1000 and 1250 m) from the centre of each site. We found that the abundance within bee groups was influenced differently by different landscape parameters and land covers, whereas species richness was unaffected. Generally, smaller bees' abundance was impacted by landscape parameters at smaller scales and larger bees at larger scales. The land cover that influenced bee abundance positively was olive grove, while phrygana, conifer forest, broad-leaved forest, cultivated land, rock, urban areas and sea had mostly negative or no impact. We stress the need for a holistic approach, including all land covers, when assessing the effects of landscape context on bee diversity and abundance in the Mediterranean.","influence of landscape context on the abundance and diversity of","The diversity and abundance of wild bees ensures the delivery"
"2470","Tscheulin, T; Petanidou, T","the presence of the invasive plant solanum elaeagnifolium deters honeybees and increases pollen limitation in the native co-flowering species glaucium flavum",2013,"BIOLOGICAL INVASIONS","10.1007/s10530-012-0293-y","Invasive plants can impact biodiversity and ecosystem functioning by displacing native plants and crop species due to competition for space, nutrients, water and light. The presence of co-flowering invasives has also been shown to affect some native plants through the reduction in pollinator visitation or through the deposition of heterospecific pollen on the native's stigmas leading to stigma clogging. We examined the impact of the invasive plant Solanum elaeagnifolium Cavanilles (silver-leafed nightshade), native to South and Central America and South-western parts of North America, on the seed set of the native Glaucium flavum Crantz (yellow-horned poppy) on Lesvos Island, Greece. To do this we measured seed set and visitation rates to G. flavum before and after the placement of potted individuals of the invasive near the native plants. In addition, we hand-crossed G. flavum flowers with super-optimal amounts of conspecific pollen, bagged flowers to measure the rate of spontaneous selfing, and applied self-pollen to measure self-compatibility of G. flavum. The hand-selfing treatment resulted in very low seed set, which indicates that G. flavum is to a large degree self-incompatible and highlights the plant's need for insect-mediated outcrossing. We show that the presence of the invasive significantly enhanced pollen limitation, although the overall visitation rates were not reduced and that this increase is due to a reduction in honeybee visitation in the presence of the invasive resulting in reduced pollination.","the presence of the invasive plant solanum elaeagnifolium deters honeybees","Invasive plants can impact biodiversity and ecosystem functioning by displacing"
"2744","Tscheulin, T; Petanidou, T; Potts, SG; Settele, J","the impact of solanum elaeagnifolium, an invasive plant in the mediterranean, on the flower visitation and seed set of the native co-flowering species glaucium flavum",2009,"PLANT ECOLOGY","10.1007/s11258-009-9599-y","We examined the effect of the invasive Solanum elaeagnifolium (Solanaceae) on flower visitation patterns and seed set of the co-flowering native Glaucium flavum (Papaveraceae). We observed flowering G. flavum plants in invaded and uninvaded sites and found that G. flavum flowers in uninvaded sites received significantly more total visits. In addition, we hand-pollinated flowers on plants of G. flavum with (i) pure conspecific pollen, (ii) pure S. elaeagnifolium pollen and (iii) three different mixtures of the two types of pollen (containing 25, 50 and 75% invasive pollen). As a control, flowers were left unmanipulated or were permanently bagged. Seed set did not differ significantly between flowers receiving pollen mixtures and pure conspecific pollen. However, in the open pollination treatment, seed set was significantly lower than in the 100% conspecific pollen treatment, which suggests pollen limitation. Bagged flowers had very low seed set. G. flavum was generally resilient against the deposition of S. elaeagnifolium pollen.","the impact of solanum elaeagnifolium, an invasive plant in the","We examined the effect of the invasive Solanum elaeagnifolium (Solanaceae)"
"476","Tschoeke P.H., Oliveira E.E., Dalcin M.S., Silveira-Tschoeke M.C.A.C., Santos G.R.","diversity and flower-visiting rates of bee species as potential pollinators of melon (cucumis melo l.) in the brazilian cerrado",2015,"Scientia Horticulturae","10.1016/j.scienta.2015.02.027","Although bees are important pollinators in many ecosystems worldwide, studies on bee diversity and their contribution to pollination of commercial plants in the Brazilian Cerrado (savannah-like biome) are scarce. The Cerrado biome covers approximately 23% of Brazil and is one of the world's most important agricultural frontiers. Here, we conducted field experiments in the Brazilian Cerrado to evaluate the diversity of bees, their foraging behaviors and flower visiting periods, and their potential contribution to the performance of six melon (. Cucumis melo L.) cultivars. Five bee species (. Apis mellifera, Halictus sp., Plebeia sp., Trigona pallens, and T. spinipes) were recorded visiting both male and hermaphrodite flower types of all C. melo cultivars. Whereas A. mellifera showed two peaks of flower visitation (an intense first one between 8:00. a.m. and 11:00. a.m. and a second less intense one after 4:00. p.m.), all other bee species visited the C. melo flowers only in the morning, with intensities and visitation peaks similar to those of A. mellifera. All of these bees collected nectar and pollen. Our results also indicated a moderate correlation between the intensity of bee visitation and fruit weight, demonstrating that all of these bees had the potential to pollinate C. melo and to influence its productivity. Except for the cultivar 'Hibrix', all the other cultivars showed economic feasibility and produced fruits of marketable sizes, with an estimated yield (over 25. tons/ha) in the range registered in other Brazilian regions. © 2015 Elsevier B.V.","diversity and flower-visiting rates of bee species as potential pollinators","Although bees are important pollinators in many ecosystems worldwide, studies"
"1025","Tsujiuchi S., Sivan-Loukianova E., Eberl D.F., Kitagawa Y., Kadowaki T.","dynamic range compression in the honey bee auditory system toward waggle dance sounds",2007,"PLoS ONE","10.1371/journal.pone.0000234","Honey bee foragers use a ""waggle dance"" to inform nestmates about direction and distance to locations of attractive food. The sound and air flows generated by dancer's wing and abdominal vibrations have been implicated as important cues, but the decoding mechanisms for these dance messages are poorly understood. To understand the neural mechanisms of honey bee dance communication, we analyzed the anatomy of antenna and Johnston's organ (JO) in the pedicel of the antenna, as well as the mechanical and neural response characteristics of antenna and JO to acoustic stimuli, respectively. The honey bee JO consists of about 300-320 scolopidia connected with about 48 cuticular ""knobs"" around the circumference of the pedicel. Each scolopidium contains bipolar sensory neurons with both type I and II cilia. The mechanical sensitivities of the antennal flagellum are specifically high in response to low but not high intensity stimuli of 265-350 Hz frequencies. The structural characteristics of antenna but not JO neurons seem to be responsible for the non-linear responses of the flagellum in contrast to mosquito and fruit fly. The honey bee flagellum is a sensitive movement detector responding to 20 nm tip displacement, which is comparable to female mosquito. Furthermore, the JO neurons have the ability to preserve both frequency and temporal information of acoustic stimuli including the ""waggle dance"" sound. Intriguingly, the response of JO neurons was found to be age-dependent, demonstrating that the dance communication is only possible between aged foragers. These results suggest that the matured honey bee antennae and JO neurons are best tuned to detect 250-300 Hz sound generated during ""waggle dance"" from the distance in a dark hive, and that sufficient responses of the JO neurons are obtained by reducing the mechanical sensitivity of the flagellum in a near-field of dancer. This nonlinear effect brings about dynamic range compression in the honey bee auditory system. © 2007 Tsujiuchi et al.","dynamic range compression in the honey bee auditory system toward","Honey bee foragers use a ""waggle dance"" to inform nestmates"
"110","Tucker S.K., Ginsberg H.S., Alm S.R.","effect of corolla slitting and nectar robbery by the eastern carpenter bee (hymenoptera: apidae) on fruit quality of vaccinium corymbosum l. (ericales: ericaceae)",2019,"Environmental Entomology","10.1093/ee/nvz055","Eastern carpenter bees, Xylocopa virginica (L.) (Hymenoptera: Apidae), are among the most abundant native bee visitors to highbush blueberry, Vaccinium corymbosum L., flowers in the northeastern United States, and they sometimes display corolla-slitting behavior to rob nectar. We studied foraging behavior of X. virginica on 14 blueberry cultivars in an experimental planting in Rhode Island, and assessed factors related to slitting frequency, and the effects of slitting on fruit set and blueberry quality. Among 14 cultivars in bloom, an average of 35% (range 16-67%) of flowers were slit in 2017, and 39% (range 20-62%) in 2018. Factors that affected the proportion of corollas slit included cultivar, anther length, flower volume, and number of days in bloom at or above 15°C. Corolla slitting did not affect fruit set. Average weight and percent soluble solids of fruit resulting from slit and non-slit corollas did not differ significantly in two early-('Bluehaven', 'Earliblue'), two mid-('Collins', 'Bluecrop'), and two late-season ('Herbert', 'Lateblue') ripening cultivars in 2017. In 2018, average fruit weight and percent soluble solids resulting from slit and non-slit flowers did not differ significantly in most cultivars, but slit corollas resulted in berries with greater mass in two cultivars, 'Bluehaven' and 'Collins'. 'Collins' fruit from non-slit corollas had a significantly higher percentage of soluble solids at maturity than fruit from slit corollas in 2018. Corolla slitting and nectar robbery by X. virginica did not have a significant negative effect on fruit quality under the described growing conditions and pollinator community. © 2019 The Author(s). Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved.","effect of corolla slitting and nectar robbery by the eastern","Eastern carpenter bees, Xylocopa virginica (L.) (Hymenoptera: Apidae), are among"
"2699","Tuell, JK; Isaacs, R","community and species-specific responses of wild bees to insect pest control programs applied to a pollinator-dependent crop",2010,"JOURNAL OF ECONOMIC ENTOMOLOGY","10.1603/EC09314","Wild bee conservation is regarded as essential for sustainable production of pollinator-dependent crops, yet little is known about the effects on wild bee communities of typical insect pest management programs used postbloom. We developed an insecticide program risk (IPR) index to quantify the relative risk to wild bees of insecticide programs applied to blueberry fields. This was used to determine the relationship between IPR and the abundance, diversity, and richness of wild bee communities sampled during three successive flowering seasons. In 2 of 3 yr, bee abundance and species richness declined with increasing IPR. Bee diversity declined with IPR in one of 3 yr. These results indicate that wild bee communities are negatively affected by increasingly intensive chemical pest management activities in crop fields and that interyear variability in bee populations has the potential to mask such effects in short-term studies. When several wild bee species were analyzed separately, two of three solitary and one of three social blueberry-foraging species declined with increasing IPR values, suggesting that different life histories and nesting habits may help some bee populations escape the negative effects of insecticides applied after bloom. Pollinator conservation programs aimed strictly at reducing insecticide use may have varying success, depending on the biology of the target bee species. The IPR index provides a standard method to compare pest management programs for their potential effect on wild bee communities, with broad application for use in other agricultural systems.","community and species-specific responses of wild bees to insect pest","Wild bee conservation is regarded as essential for sustainable production"
"1699","Twerd, L; Banaszak-Cibicka, W","wastelands: their attractiveness and importance for preserving the diversity of wild bees in urban areas",2019,"JOURNAL OF INSECT CONSERVATION","10.1007/s10841-019-00148-8","Urban wastelands are important substitute habitats for many insect species, but their value for the protection of wild bees is still poorly studied. We assessed species richness, abundance, and the diversity of wild bees in wastelands that differed in area (2-35ha), stage of ecological succession, location (suburbs or closer to the city centre), and history of land use. In the investigated plots, we recorded 42% of all bee species reported from Poland. The attractiveness of wastelands was positively correlated with the coverage of blooming herbs, coverage of shrubs and low trees, and the area of the wasteland. An increase in isolation of the habitat patches, the percentage contribution of alien species, annuals, and low grasses (<25 cm) negatively affected the diversity of Apiformes. Considering the history of land use, we found that the bees were most attracted to wastelands resulting from extractive industry (sand and clay pits), and grassy habitats located in the suburbs, e.g. at sites grazed earlier by sheep. Wastelands in areas directly influenced by the chemical industry were the least attractive to bees. Analyses of quantitative and qualitative similarity of bees in various habitat types showed that three habitat types were the most similar to grasslands in the suburbs (the least disturbed habitats): degraded grasslands located closer to the city centre, extraction pits, and old fields. The presented results indicate that urban wastelands, including some post-industrial sites, can be important secondary habitats for wild bees. Thus, proper management of urban natural resources should cover both the formally managed areas and the so-called unproductive spaces, which have been undervalued so far.","wastelands: their attractiveness and importance for preserving the diversity of","Urban wastelands are important substitute habitats for many insect species,"
"1616","Twerd, L; Sobieraj-Betlinska, A; Banaszak, J","complementary use of various types of anthropogenic habitats by scolia hirta (hymenoptera: scoliidae) and scolia sexmaculata",2019,"ENVIRONMENTAL ENTOMOLOGY","10.1093/ee/nvz132","Scolia hirta (Schrank) and Scolia sexmaculata (O.F. Muller) are Palearctic, parasitic Aculeata inhabiting forests and forest steppes. At present, the abundance and dispersal of these species are increasing considerably in Poland and other European countries, allowing observation of their possible habitat preferences. The analysis of the preferences of S. hirta and S. sexmaculata was conducted in Northern and North-Eastern Poland based on the evaluation of their occurrence in six types of habitats: (A) psammophilous and xerothermic grasslands, (B) old fields, (C) city outskirts, (D) sites in housing/industrial zones, (E) sand quarries, (F) post-industrial wastelands, and in a total of three types of landscape: 1) semi-natural, 2) urban, and 3) industrial. We demonstrated that the habitat most frequently colonized by S. hirta is post-industrial wastelands, while S. sexmaculata were most often sampled in old fields, with the frequency of 100% and 94.11%, respectively. At the same time, the abundance of the species in these habitats was also the highest, with a mean of 8.00 and 10.88 individuals, respectively. Moreover, S. hirta was relatively frequently found in the urban landscape (67% in city outskirts and 88.23% in the housing/industrial zones), while S. sexmaculata colonized these areas to a considerably low degree (25% in city outskirts and 29.41% in the housing/industrial zones). We also established that the occurrence of the species was affected by the forest cover in the closest vicinity of the study sites, which significantly modified the habitat preference of the species analyzed.","complementary use of various types of anthropogenic habitats by scolia","Scolia hirta (Schrank) and Scolia sexmaculata (O.F. Muller) are Palearctic,"
"190","Tyler T., Herbertsson L., Olsson P.A., Fröberg L., Olsson K.-A., Svensson Å., Olsson O.","climate warming and land-use changes drive broad-scale floristic changes in southern sweden",2018,"Global Change Biology","10.1111/gcb.14031","Land-use changes, pollution and climate warming during the 20th century have caused changes in biodiversity across the world. However, in many cases, the environmental drivers are poorly understood. To identify and rank the drivers currently causing broad-scale floristic changes in N Europe, we analysed data from two vascular plant surveys of 200 randomly selected 2.5 × 2.5 km grid-squares in Scania, southernmost Sweden, conducted 1989–2006 and 2008–2015, respectively, and related the change in frequency (performance) of the species to a wide range of species-specific plant traits. We chose traits representing all plausible drivers of recent floristic changes: climatic change (northern distribution limit, flowering time), land-use change (light requirement, response to grazing/mowing, response to soil disturbance), drainage (water requirement), acidification (pH optimum), nitrogen deposition and eutrophication (N requirement, N fixation ability, carnivory, parasitism, mycorrhizal associations), pollinator decline (mode of reproduction) and changes in CO2 levels (photosynthetic pathway). Our results suggest that climate warming and changes in land-use were the main drivers of changes in the flora during the last decades. Climate warming appeared as the most influential driver, with northern distribution limit explaining 30%–60% of the variance in the GLMM models. However, the relative importance of the drivers differed among habitat types, with grassland species being affected the most by cessation of grazing/mowing and species of ruderal habitats by on-going concentration of both agriculture and human population to the most productive soils. For wetland species, only pH optimum was significantly related to species performance, possibly an effect of the increasing humification of acidic water bodies. An observed relative decline of mycorrhizal species may possibly be explained by decreasing nitrogen deposition resulting in less competition for phosphorus. We found no effect of shortage or decline of pollinating lepidopterans and bees. © 2017 John Wiley & Sons Ltd","climate warming and land-use changes drive broad-scale floristic changes in","Land-use changes, pollution and climate warming during the 20th century"
"764","Tyson R.C., Wilson J.B., Lane W.D.","a mechanistic model to predict transgenic seed contamination in bee-pollinated crops validated in an apple orchard",2011,"Ecological Modelling","10.1016/j.ecolmodel.2011.03.039","The adventitious presence of transgene containing seed in conventional crops is an issue of considerable interest; a model to predict levels will aid regulators and help to address concerns of farmers and consumers. While outcrossing levels have been described in crops such as rape that are wind-pollinated, or both wind- and insect-pollinated, much less is known about pollen dispersal in exclusively insect-pollinated crops. In this paper, we develop a mechanistic model for pollen movement that is based on a description of bee movement through space. Our model is a system of diffusion-based partial differential equations that we use to predict percent transgenic seed at arbitrary distances from a transgenic source under different planting scenarios. We present a two-pronged study, in which the mathematical modelling work is informed by experimental work. The latter was carried out in an apple orchard with a row of 200 transgenic source trees carrying the GUS marker gene. Fruit from neighbouring conventional trees was gathered at distances ranging from 3.5. m to 183. m, and the seeds were extracted and germinated. Percent transgenic seed at each location was determined by testing the seedlings for the presence of the GUS marker gene. We use the experimental data to validate and parameterize the model, and then run model simulations to determine expected percent transgenic seed in various linear landscapes. We find that the percent transgenic seed in neighbouring conventional trees and orchards is a function of the size of each orchard block and the distance between them. The model explicitly shows the effect of overlapping transgenic and nontransgenic pollen distributions in setting seed distributions, and also shows the value of buffer rows in reducing outcrossing levels in neighbouring crops. The model parameters can be adjusted to suit particular crops and locations, and may be useful for determining plausible distributions on transgenic seed plantings needed to allow for an adventitious presence of, for example, 0.9%. © 2011 Elsevier B.V.","a mechanistic model to predict transgenic seed contamination in bee-pollinated","The adventitious presence of transgene containing seed in conventional crops"
"787","Tyson R.C., Wilson J.B., Lane W.D.","beyond diffusion: modelling local and long-distance dispersal for organisms exhibiting intensive and extensive search modes",2011,"Theoretical Population Biology","10.1016/j.tpb.2010.11.002","The distribution of foragers on the landscape has important consequences to, for example, the spread rate of an invasive species or the outcrossing levels between neighbouring crops. Since forager distribution can be difficult to measure directly, mathematical models are often used to predict the population density of dispersing foragers on the landscape. We model organism movement using a diffusion framework in which the foraging population is divided into two subpopulations engaged in intensive and extensive search modes respectively. Movement in the intensive search mode (ISM) is modeled by diffusion, and movement in the extensive search mode (ESM) is modeled by advection. We show that our model provides a superior fit to organism movement data than more traditional diffusion or diffusion-advection models in which the forager population is considered homogeneous. Our results have implications for the understanding of dispersal in a wide variety of applications. © 2010 Elsevier Inc.","beyond diffusion: modelling local and long-distance dispersal for organisms exhibiting","The distribution of foragers on the landscape has important consequences"
"164","Udayakumar A., Shivalingaswamy T.M.","nesting biology, seasonality and host range of sweat bee, hoplonomia westwoodi (gribodo) (hymenoptera: halictidae: nomiinae)",2018,"Sociobiology","10.13102/sociobiology.v65i3.2837","Nesting biology and seasonal dynamics of Halictid bee, Hoplonomia westwoodi (Nomiinae: Halictidae) was studied at ICAR-National Bureau of Agricultural Insect Resources (NBAIR) Bengaluru, Yelahanka Campus (13.096792N, 77.565976E) India from July 2016 to May 2017. The bee built subterranean nests on a leveled soil surface with turrets and the main shaft running to a depth of 70.1 cm. In total, nineteen cells were observed in clusters at different depths. Different life stages of the bee were observed in the cells. The life cycle of the bee was completed in 41.80 days. The bees were found actively foraging on different flora belonging to the different families like Acanthaceae, Asteraceae, Convolvulaceae, Fabaceae, Lamiaceae, Malpighiaceae, Polygonaceae, Rubiaceae and Solanceae throughout the year with the peak population during the months of June to November. Marked preference and behavior of buzz pollination was observed on the flowers of Solanaceous crops like tomato and eggplant. © 2018 Universidade Estadual de Feira de Santana. All rights reserved.","nesting biology, seasonality and host range of sweat bee, hoplonomia","Nesting biology and seasonal dynamics of Halictid bee, Hoplonomia westwoodi"
"878","Udgata S.K., Sabat S.L., Mini S.","sensor deployment in irregular terrain using artificial bee colony algorithm",2009,"2009 World Congress on Nature and Biologically Inspired Computing, NABIC 2009 - Proceedings","10.1109/NABIC.2009.5393734","The main objective of sensor deployment problem in Wireless Sensor Network (WSN) is to use minimum number of sensor nodes with given sensing range that can cover any target in the coverage area to monitor the environment. The optimal sensor deployment enables accurate sensing information on target behavior with minimum sensing range and number of sensor nodes. The target coverage terrain in a locality need not be a smooth rectangle which makes the deployment problem more complex. The optimal sensor deployment is a problem of maximizing coverage and minimizing number of sensor nodes which has been proved to be NP-hard. Artificial Bee Colony (ABC) algorithm, inspired by the food foraging behavior of honey bees is recently being used for different optimization problems and found to be efficient for a wide range of applications including data clustering. In this paper, the sensor deployment problem is modeled as a data clustering problem and optimal solution to the deployment problem is obtained using ABC algorithm. The results show that ABC algorithm gives robust and good quality of solution. ©2009 IEEE.","sensor deployment in irregular terrain using artificial bee colony algorithm","The main objective of sensor deployment problem in Wireless Sensor"
"271","Ullmann A., Bastian A., Bastian H.-V.","food availability and nestling diet of european bee-eaters merops apiaster in three colonies in rheinland-pfalz [nahrungsangebot und nestlingsnahrung des bienenfressers merops apiaster in drei kolonien in rheinland-pfalz]",2017,"Vogelwarte","","The European Bee-eater Merops apiaster expands its breeding range north of the Alps since about 25 years and actually several established populations exist in Germany. For a permanent colonization, they need suitable breeding habitats and proper food supplies. The European Bee-eater is an insectivorous, distinct hunter of large flying insects and in its Mediterranean habitats it largely prefers Hymenoptera. If the same food preference is also valid for Germany or if Bee-eaters here prefer different flight insects was investigated in three colonies in Rhineland-Palatinate. For this we analyzed prey offer and use. There was a significant difference between the composition of the food supply in the foraging areas and the eaten insects found in pellets of nestlings. In all three colonies about 90% of prey items belonged to Hymenoptera, although the portion of available Hymenoptera was 70% in one colony and between 10% and 20% the two other colonies. These results are in line with results from studies in Saxony-Anhalt, Thuringia and North Rhine-Westphalia as well as with several studies from East- And South Europe. All of these studies confirm the preference of Hymenoptera and the avoidance of Diptera. By comparing our results with those from literature, we could also demonstrate that the apparent level of preference depends also on methods: 1he Hymenoptera share was higher in pellets and by analyzing stomach contents than in photo documented nestling food.","food availability and nestling diet of european bee-eaters merops apiaster","The European Bee-eater Merops apiaster expands its breeding range north"
"1476","Underwood B.A.","seasonal nesting cycle and migration patterns of the himalayan honey bee apis laboriosa",1990,"National Geographic Research","","Apis laboriosa nests in the open, high on cliffs at altitudes of 1200-3500 m. One of the keys to colony survival at such high altitudes is seasonal migration. Nest sites within the subalpine zone of N-central Nepal (above c2800 m) are occupied for a maximum of only 4 months in summer (June through September), while those within the warm-temperate zone (1200-2000 m) may be used for as long as 10 months of the year (February through November). Predation, especially by humans, serves as the impetus for some migratory movements, but a combination of poor foraging conditions and low colony stores also leads laboriosa colonies to migrate. In the steep, narrow valleys inhabited by these bees, the seasonal abundance and distribution of flora resources vary widely within short distances, and colonies need not move >10-20 km to migrate between cliff sites separated by as much as 2000 m in altitude. Late in November or early in December, Laboriosa colonies abandon their nests on the cliffs and move into the forest at altitudes below 2000 m. There they survive the cold winter months of December and January by huddling near the ground. Colonies return to the cliffs in early February to begin the yearly cycle again. -from Author","seasonal nesting cycle and migration patterns of the himalayan honey","Apis laboriosa nests in the open, high on cliffs at"
"1806","Uniyal, PL; Tiwari, P; Chaudhary, E","studies on floral sources, phenolic, flavonoid, proline contents and antioxidant capacity of honey from the khirsoo area of pauri, uttarakhand, india",2018,"INDIAN JOURNAL OF AGRICULTURAL SCIENCES","","Present study was carried out to determine the floral sources, phenolic, flavonoid, proline contents and antioxidant capacity of 24 honey samples collected from the Khirsoo area of the Pauri district, Uttarakhand (India). The phenolic, flavonoid, proline contents, and antioxidant capacity of the honey samples ranged from 36.83 to 106.66 mg GAE/100g, 3.99 to 20.56 mg QE/100g, 27.3 to 621.22 mg/kg and 16.24 to 25.96 mg AAE/100g, respectively. Maximum quantity of phenolic, flavonoid contents and antioxidant capacity was found in Thapla honey representing the dominant floral sources Aesculus indica, Rhododendron arboreum, Myrica esculentum, Berberis aristata, Coriandrum sativa, Brassicaceous and Rosaceous members. Highest proline content was found in Gwaad honey, extracted in the month of November with dominant bee forage species Prunus cerasoides, Sesamum indicum, Impatiens balsaminea, Zea mays and Luffa spp. Study has shown that there is a positive correlation between the antioxidant capacity and phenolic contents (R=0.844) as well as in between antioxidants and the flavonoid contents (R=0.694). The observation revealed that the region has a good potential of bee forage species and quality of honey is good for dietary and medicinal purpose.","studies on floral sources, phenolic, flavonoid, proline contents and antioxidant","Present study was carried out to determine the floral sources,"
