Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source,Relevant,Region,Country,Habitat,Family,Genus species,Sex,ITD,Eusociality,Nesting,Lecty,Metric,N,distance_type,Distance,SD,SE,CI_95,Foraging trips cease (km),Communication ceases (km),Notes,follow_up
"Rau (1929, 1931)",,1931,,,,,,,,,,,,GZ,yes,North America,USA,wooded hills/open fields,Apidae,Anthophora abrupta,Female,3.9,,,,homing,,Max,2300,,,,,,yes_pdf,
"Rau (1929, 1931)",,1931,,,,,,,,,,,,GZ,yes,North America,USA,wooded hills/open fields,Apidae,Anthophora abrupta,Female,3.9,,,,homing,,Typical,500,,,,,,yes_pdf,
"Rau (1929, 1931)",,1931,,,,,,,,,,,,GZ,yes,North America,USA,wooded hills/open fields,Apidae,Xylocopa virginica,Female,5.6,,,,homing,,Max,13000,,,,,7.75 miles,yes_pdf,
"Rau (1929, 1931)",,1931,,,,,,,,,,,,GZ,yes,North America,USA,wooded hills/open fields,Apidae,Xylocopa virginica,Female,5.6,,,,homing,,Typical,7500,,,,,,yes_pdf,
Rau (1929),,1929,,,,,,,,,,,,GZ,yes,North America,USA,wooded hills/open fields,Apidae,Anthophora abrupta,Female,,,,,homing,66,Max,12500,,,,,,yes_pdf,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus hortorum,Female,,Social,,Polylectic,molecular,48,Max,810,,,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus hortorum,Female,,Social,,Polylectic,molecular,48,Mean,273,,20.15,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus lapidarius,Female,,Social,,Polylectic,molecular,271,Max,2059,,,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus lapidarius,Female,,Social,,Polylectic,molecular,271,Mean,536,,16.02,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus pascuorum,Female,,Social,,Polylectic,molecular,123,Max,1808,,,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus pascuorum,Female,,Social,,Polylectic,molecular,123,Mean,337,,19.92,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus ruderatus,Female,,Social,,Polylectic,molecular,42,Max,2350,,,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus ruderatus,Female,,Social,,Polylectic,molecular,42,Mean,502,,33.71,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus terrestris,Female,,Social,,Polylectic,molecular,69,Max,2878,,,,,,,
"Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.",Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,2016,Ecological Applications,26,3,,726,739,,10.1890/15-0546/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964813911&doi=10.1890%2f15-0546%2fsuppinfo&partnerID=40&md5=1591add88d5bcb3d12723e88674e7cc8,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km2 agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,UK,Agriculture,Apidae,Bombus terrestris,Female,,Social,,Polylectic,molecular,69,Mean,551,,39.83,,,,,
Robertson (1966),,1966,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Megachile rotundata,Female,2.4,,,,NFA,,Mean,100,,,,,Observed distance - not sure if mean or max,no_access_LK,
"Rodrigues F., Ribeiro M.F.",Influence of experience on homing ability of foragers of Melipona mandacaia Smith (Hymenoptera: Apidae: Meliponini),2014,Sociobiology,61,4,,523,528,,10.13102/sociobiology.v61i4.523-528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921500430&doi=10.13102%2fsociobiology.v61i4.523-528&partnerID=40&md5=be2c924a774013b3f9b6aabf9f585b8d,"The distance a bee can fly to collect food is quite relevant, among other aspects, for successful pollination. However, studies on this aspect concerning stingless bees usually do not take into consideration their homing ability. The objectives of this study were to verify the maximum distance that foragers of Melipona mandacaia Smith can fly, and whether experience is relevant for their homing ability in a Caatinga region of Northeast Brazil. Five colonies were used to collect foragers. These were marked and released starting from 100 m from their nests and at every 100 m up to a maximum distance on which there would be no bee returning to the nest. To evaluate the influence of experience, after being marked, another group of bees was put back into colonies, collected again after eight days and released in five distances only (500, 1,000, 1,500, 2,000 and 2,500 m). In both experiments, as the distance increased, the returning success of the bees decreased significantly. In fact, there was a significant negative correlation between their returning success and the distances they were released. The maximum distance a translocate bee returned to its hive was 2,700 m. The percentage of success was very high for bees released at 500 and 1,000 m (100% and 77%, respectively), suggesting this is the common flight range for the species. In most cases, average percentage of success was significantly higher for experienced bees than for other bees reinforcing the idea that experience is quite relevant for homing ability.",Article,Scopus,yes,South America,Brazil,natural - savanna,Apidae,Melipona mandacaia,Female,,Social,,Polylectic,homing,75,Max,2700,,,,,,,
Roubik (1989),,1989,,,,,,,,,,,,GZ,yes,,,,Apidae,Scaptotrigona luteipennis,Female,2,Social,,Polylectic,pollen mapping,,Mean,1300,,,,,Observed distance - not sure if mean or max,no_access_LK,
Roubik and Aluja (1983),,1983,,,,,,,,,,,,GZ,yes,Central America,Panama,forest,Apidae,Cephalotrigona capitata,Female,2.3,Social,,Polylectic,homing,167,Max,1547,,,,,,yes_pdf,
Roubik and Aluja (1983),,1983,,,,,,,,,,,,GZ,yes,Central America,Panama,forest,Apidae,Melipona fasciata,Female,2.9,Social,,Polylectic,homing,228,Max,2085,,,,,,yes_pdf,
Rust (1990),,1990,,,,,,,,,,,,GZ,yes,North America,USA,meadow,Megachilidae,Osmia lignaria,Female,2.9,,,,pollen mapping,,Mean,600,,,,,distance between plant populations,yes_pdf,ss propinqua
Saville et al. 1997,,1997,,,,,,,,,,,,GZ,yes,Europe,Norway,Agriculture,Apidae,Bombus lucorum,Female,3.6,Social,,Polylectic,mark recapture,36,Max,350,,,,,"Not sure mean or max - One marked B. lucorum was reobserved in Area 2 five days later, about 350m from the nest",yes_pdf,
Schaffer and Wratten (1994),,1994,,,,,,,,,,,,GZ,yes,Australasia,New Zealand,Agriculture,Apidae,Bombus terrestris,Female,3.5,Social,,Polylectic,mark recapture,,Max,100,,,,,Fewer than 3% of the bees travelled further than 100m within the crop,yes_pdf,
Schaffer and Wratten (1994),,1994,,,,,,,,,,,,GZ,yes,Australasia,New Zealand,Agriculture,Apidae,Bombus terrestris,Female,3.5,Social,,Polylectic,nest plant association,,Max,650,,,,,Max distance seen on weeds before crop full-bloom,yes_pdf,
Schmid-Egger et al. (1995),,1995,,,,,,,,,,,,GZ,yes,,,,Colletidae,Colletes hederae,NA,,,,,NA,NA,Max,400,,,,,German,no_access_LK,
Schneider and Hall (1997),,1997,,,,,,,,,,,,GZ,yes,Central America,Costa Rica,NA,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,NA,Mean,1402,336,,,,Hybrids - pollen,yes_pdf,
Schneider and Hall (1997),,1997,,,,,,,,,,,,GZ,yes,Central America,Costa Rica,NA,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,,Mean,1202,82,,,,Hybrids - nectar,yes_pdf,
Schneider and Hall (1997),,1997,,,,,,,,,,,,GZ,yes,Central America,Costa Rica,NA,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,,Mean,1085,143,,,,African - pollen,yes_pdf,
Schneider and Hall (1997),,1997,,,,,,,,,,,,GZ,yes,Central America,Costa Rica,NA,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,,Mean,1041,38,,,,African - nectar,yes_pdf,
"Silva A.G., Pinto R.S., Contrera F.A.L., Albuquerque P.M.C., RÃªgo M.M.C.",Foraging distance of Melipona subnitida Ducke (Hymenoptera: Apidae),2014,Sociobiology,61,4,,494,501,,10.13102/sociobiology.v61i4.494-501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921475856&doi=10.13102%2fsociobiology.v61i4.494-501&partnerID=40&md5=c99780094d43792abecd05e321bbd9fd,"The current study aimed at estimating the maximum foraging distance of the stingless bee Melipona subnitida Ducke by comparing the efficacy of two methods: training of workers with an artificial feeding source and the capture-recapture technique, which consisted at marking bees that were released at different distances from the nest, after which the number of bees that returned to the colony was recorded. Under the training method, the mean foraging distance of the three colonies studied was 1,120 m and maximum foraging distance of 1,160 m. Yet the number of recruits and reactivated foragers for each colony were quantified, the average maximum distance until recruitment occurred was 886,66 m. In the capture-recapture method, the maximum flight distance of captured foragers ranged from 3,600 to 4,000 m, which was 2,700 m farther than the maximum flight distance recorded using the artificial feeding method. Therefore, we verified that M. subnitida is a species that can travel long distances in search for food. Our results also suggest that an abundance of resources near the nest can reduce its foraging area.",Article,Scopus,yes,South America,Brazil,natural - scrub shrub,Apidae,Melipona subnitida,Female,,Social,,Polylectic,feeder,3,Max,1120,40,,,,,,
